,MAE,MSE,RMSE,R2
Linear Regression,50670.48923565361,4908290571.346432,70059.19333925014,0.6254382675296266
Polynomial Regression,46384.1963129514,4506376734.90659,67129.5518747637,0.6561091377017292
Decision Tree,43604.01429263566,4785287042.8224325,69175.76918851306,0.6348249193739326
Random Forest,31628.40731104651,2395290032.473151,48941.70034309343,0.8172104989933294
RNN,187113.52926227657,47322587358.79627,217537.5539045989,-2.6112838163183505
